epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1473,2.58825,8.3449,2.48186,0.00926,0.25,0.24986,0.02499,3.22417,9.53731,2.93932,0,0,0
2,54.6614,2.20815,6.40077,2.11454,0.0125,0.25,0.25069,0.02507,3.24683,9.42787,2.99534,7.53774e-06,7.53774e-06,7.53774e-06
3,77.3286,2.30258,7.22693,2.28249,0.01852,0.25,0.25222,0.02522,3.27123,9.28326,3.0987,1.4771e-05,1.4771e-05,1.4771e-05
4,99.5258,2.28267,6.41465,2.05842,0.03846,0.25,0.25731,0.02573,3.26724,9.40912,3.02153,2.16996e-05,2.16996e-05,2.16996e-05
5,122.547,2.22574,5.72904,2.0856,0.125,0.25,0.27938,0.02794,3.50588,9.81976,3.25643,2.83238e-05,2.83238e-05,2.83238e-05
6,145.988,2.26359,5.12423,2.21518,0.25,0.25,0.1875,0.01875,3.39115,11.5989,3.1381,3.46435e-05,3.46435e-05,3.46435e-05
7,168.521,2.27829,4.28441,2.12895,0.25,0.25,0.1875,0.01875,3.38489,12.215,3.15211,4.06586e-05,4.06586e-05,4.06586e-05
8,190.03,2.28618,3.96589,2.28392,0.25,0.25,0.1875,0.01875,3.25083,14.0715,2.97513,4.63692e-05,4.63692e-05,4.63692e-05
9,211.39,2.17709,4.02837,2.08538,0.25,0.25,0.1875,0.01875,3.12787,18.2435,2.86316,5.17752e-05,5.17752e-05,5.17752e-05
10,229.591,2.16659,3.43389,2.1708,0.25,0.25,0.1875,0.01875,2.89611,25.8058,2.64395,5.68768e-05,5.68768e-05,5.68768e-05
11,250.722,2.0477,3.27509,2.13523,0.5,0.5,0.4975,0.14925,2.70813,33.2487,2.50212,6.16738e-05,6.16738e-05,6.16738e-05
12,272.297,2.08694,2.97046,2.1569,0.5,0.5,0.4975,0.14925,2.67015,37.9926,2.57359,6.61663e-05,6.61663e-05,6.61663e-05
13,298.02,1.96544,3.10552,1.88071,0.5,0.5,0.4975,0.14925,2.66229,38.5994,2.56062,7.03543e-05,7.03543e-05,7.03543e-05
14,338.747,1.68713,2.2057,1.63907,0.5,0.5,0.4975,0.14925,2.67968,38.4593,2.50738,7.42377e-05,7.42377e-05,7.42377e-05
15,360.673,1.65703,2.39814,1.78486,0.5,0.5,0.4975,0.14925,2.65975,41.3374,2.454,7.78166e-05,7.78166e-05,7.78166e-05
16,382.661,1.69046,2.38892,1.6874,0.5,0.5,0.4975,0.14925,2.64976,38.0157,2.48915,8.10911e-05,8.10911e-05,8.10911e-05
17,402.5,1.60493,2.09403,1.75284,0.5,0.5,0.4975,0.14925,2.72164,35.1908,2.51136,8.40609e-05,8.40609e-05,8.40609e-05
18,422.468,1.62464,2.18392,1.63064,0.5,0.5,0.4975,0.14925,2.72164,35.1908,2.51136,8.67263e-05,8.67263e-05,8.67263e-05
19,441.904,1.77032,2.32914,1.85093,0.5,0.5,0.4975,0.14925,2.8562,24.8059,2.63223,8.90871e-05,8.90871e-05,8.90871e-05
20,460.475,1.39486,2.04444,1.47059,0.5,0.5,0.4975,0.14925,2.8562,24.8059,2.63223,9.11434e-05,9.11434e-05,9.11434e-05
21,477.621,1.64181,1.91464,1.63283,0.5,0.5,0.4975,0.14925,3.06155,18.4541,2.81238,9.28952e-05,9.28952e-05,9.28952e-05
22,493.975,1.36251,1.72649,1.40832,0.5,0.5,0.4975,0.14925,3.06155,18.4541,2.81238,9.43425e-05,9.43425e-05,9.43425e-05
23,512.008,1.44284,1.68339,1.44322,0.5,0.25,0.375,0.0375,3.29294,13.2472,3.00573,9.54852e-05,9.54852e-05,9.54852e-05
24,528.238,1.56128,1.9279,1.60272,0.5,0.25,0.375,0.0375,3.29294,13.2472,3.00573,9.63234e-05,9.63234e-05,9.63234e-05
25,546.291,1.35073,1.72397,1.52962,0.125,0.25,0.27938,0.02794,3.26581,10.2391,2.9387,9.68571e-05,9.68571e-05,9.68571e-05
26,565.506,1.51529,1.70294,1.53617,0.125,0.25,0.27938,0.02794,3.26581,10.2391,2.9387,9.70863e-05,9.70863e-05,9.70863e-05
27,588.228,1.31925,1.70808,1.41357,0.18258,0.25,0.26571,0.02657,3.27886,8.24475,2.95617,9.70109e-05,9.70109e-05,9.70109e-05
28,611.895,1.1877,1.41667,1.3028,0.18258,0.25,0.26571,0.02657,3.27886,8.24475,2.95617,9.6631e-05,9.6631e-05,9.6631e-05
29,635.21,1.23349,1.50017,1.37832,0.70987,0.25,0.26167,0.02617,3.27296,7.17148,2.96783,9.59466e-05,9.59466e-05,9.59466e-05
30,655.795,1.21114,1.48074,1.39889,0.70987,0.25,0.26167,0.02617,3.27296,7.17148,2.96783,9.49577e-05,9.49577e-05,9.49577e-05
31,673.335,1.32937,1.60161,1.45861,0.73358,0.25,0.25909,0.02591,3.2911,6.39465,2.97415,9.36642e-05,9.36642e-05,9.36642e-05
32,691.511,1.03299,1.31109,1.29438,0.73358,0.25,0.25909,0.02591,3.2911,6.39465,2.97415,9.20662e-05,9.20662e-05,9.20662e-05
33,711.97,1.16176,1.71115,1.44597,0.78219,0.25,0.2533,0.02533,3.26999,6.37197,2.91072,9.01637e-05,9.01637e-05,9.01637e-05
34,729.437,1.02831,1.39155,1.28997,0.78219,0.25,0.2533,0.02533,3.26999,6.37197,2.91072,8.79567e-05,8.79567e-05,8.79567e-05
35,747.801,1.15242,1.87943,1.41832,0.85869,0.25,0.25114,0.02511,3.24548,6.22862,2.85968,8.54451e-05,8.54451e-05,8.54451e-05
36,766.723,1.1248,1.26947,1.40291,0.85869,0.25,0.25114,0.02511,3.24548,6.22862,2.85968,8.26291e-05,8.26291e-05,8.26291e-05
37,785.981,1.26027,1.41109,1.37484,0.89167,0.25,0.2501,0.02501,3.32591,5.87065,2.89833,7.95084e-05,7.95084e-05,7.95084e-05
38,802.561,1.19434,1.56732,1.43031,0.89167,0.25,0.2501,0.02501,3.32591,5.87065,2.89833,7.60833e-05,7.60833e-05,7.60833e-05
39,819.268,1.07311,1.20185,1.27685,0.89887,0.25,0.24949,0.02495,3.31659,5.75292,2.87116,7.23537e-05,7.23537e-05,7.23537e-05
40,834.218,1.13752,1.33085,1.21164,0.89887,0.25,0.24949,0.02495,3.31659,5.75292,2.87116,6.83195e-05,6.83195e-05,6.83195e-05
41,851.677,1.16287,1.78105,1.45121,0.89579,0.25,0.24935,0.04987,3.29363,5.63484,2.91506,6.39808e-05,6.39808e-05,6.39808e-05
42,869.349,1.0208,1.71813,1.42652,0.89579,0.25,0.24935,0.04987,3.29363,5.63484,2.91506,5.93376e-05,5.93376e-05,5.93376e-05
