epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.049,2.70507,11.0366,2.48954,0.73653,0.125,0.14354,0.01615,3.08439,11.4816,3.30212,7.69e-06,7.69e-06,7.69e-06
2,222.619,2.65213,8.83463,2.43358,0.7366,0.125,0.1415,0.01824,2.97337,10.2683,3.18549,2.26132e-05,2.26132e-05,2.26132e-05
3,325.552,2.62483,6.17105,2.41762,0.73827,0.125,0.14684,0.02781,2.98262,10.6717,3.25707,3.69274e-05,3.69274e-05,3.69274e-05
4,438.179,2.41898,5.15425,2.17299,0.97786,0.125,0.13846,0.02277,2.85875,14.9076,3.07021,5.06325e-05,5.06325e-05,5.06325e-05
5,533.516,2.3994,4.82084,2.25721,0.87195,0.125,0.14458,0.02646,2.84434,20.52,3.0029,6.37286e-05,6.37286e-05,6.37286e-05
6,610.698,2.17798,4.45254,2.23916,0.47592,0.36324,0.29813,0.09079,2.82658,23.8536,2.82678,7.62156e-05,7.62156e-05,7.62156e-05
7,680.012,2.16056,3.72231,1.98575,0.84246,0.46435,0.45646,0.1542,2.76696,19.1906,2.68574,8.80936e-05,8.80936e-05,8.80936e-05
8,751.388,1.93568,3.10035,1.7765,0.83783,0.5,0.48609,0.17813,2.66703,14.2588,2.61029,9.93625e-05,9.93625e-05,9.93625e-05
9,824.533,1.92771,2.80041,1.7357,0.88319,0.5,0.54559,0.2,2.555,11.2901,2.48423,0.000110022,0.000110022,0.000110022
10,903.865,1.75209,2.79312,1.72337,0.80355,0.49169,0.58449,0.21042,2.40904,8.89145,2.324,0.000120073,0.000120073,0.000120073
11,979.977,1.81499,2.68759,1.71966,0.78612,0.49596,0.59539,0.22924,2.33037,6.71834,2.23067,0.000129515,0.000129515,0.000129515
12,1057.02,1.727,2.44534,1.66427,0.76109,0.5,0.615,0.23723,2.29904,5.21282,2.1568,0.000138348,0.000138348,0.000138348
13,1135.6,1.66846,2.39748,1.61784,0.82481,0.5,0.56188,0.21747,2.22048,5.00904,1.98209,0.000146571,0.000146571,0.000146571
14,1207.28,1.56581,2.03766,1.50386,0.84694,0.5,0.56688,0.23516,2.14051,5.0328,1.92334,0.000154186,0.000154186,0.000154186
15,1272.44,1.61361,2.03506,1.51463,0.84823,0.5,0.55312,0.22029,2.14526,4.69632,1.91978,0.000161192,0.000161192,0.000161192
16,1348.36,1.42657,1.8029,1.43475,0.6636,0.58333,0.58063,0.24133,2.18745,4.65954,1.9264,0.000167588,0.000167588,0.000167588
17,1444.19,1.4214,1.85449,1.45058,0.68094,0.58333,0.56812,0.22777,2.13352,4.49325,1.88249,0.000173376,0.000173376,0.000173376
18,1520.14,1.36109,1.7665,1.43233,0.6832,0.58333,0.54337,0.23278,2.03978,4.2471,1.86568,0.000178554,0.000178554,0.000178554
19,1584.85,1.39576,1.71137,1.41298,0.68156,0.58333,0.48245,0.20332,1.95365,4.20321,1.8584,0.000183124,0.000183124,0.000183124
20,1648.45,1.39837,1.54176,1.343,0.66746,0.58333,0.46783,0.19226,1.87196,4.18354,1.77117,0.000187084,0.000187084,0.000187084
21,1717.87,1.33742,1.68047,1.43656,0.71191,0.58333,0.45547,0.19432,1.88948,4.0051,1.74067,0.000190435,0.000190435,0.000190435
22,1791.27,1.24565,1.34955,1.25594,0.76762,0.58333,0.43665,0.1843,1.95079,3.83277,1.77242,0.000193177,0.000193177,0.000193177
23,1864.12,1.19716,1.33406,1.24758,0.76928,0.61698,0.49842,0.18506,1.97391,4.12169,1.7773,0.000195311,0.000195311,0.000195311
24,1932.49,1.24398,1.22329,1.2265,0.74487,0.63771,0.58123,0.25281,1.92458,4.07011,1.74916,0.000196835,0.000196835,0.000196835
25,2011,1.26654,1.50123,1.34331,0.73943,0.62949,0.53976,0.24602,1.92862,3.91458,1.76005,0.00019775,0.00019775,0.00019775
26,2077.99,1.18253,1.11785,1.2149,0.73392,0.63535,0.53973,0.26388,1.88433,3.68737,1.7396,0.000198056,0.000198056,0.000198056
27,2151,1.11691,1.18921,1.25416,0.73504,0.65544,0.53971,0.2704,1.7983,3.42859,1.70179,0.000197753,0.000197753,0.000197753
28,2223.13,1.23803,1.15058,1.23056,0.73504,0.65544,0.53971,0.2704,1.7983,3.42859,1.70179,0.000196841,0.000196841,0.000196841
29,2300.02,1.23574,1.23367,1.24941,0.75792,0.656,0.54484,0.26756,1.78406,3.03417,1.74067,0.00019532,0.00019532,0.00019532
30,2373.13,1.19014,1.2983,1.28122,0.77407,0.65657,0.58191,0.27447,1.8014,2.72642,1.8031,0.00019319,0.00019319,0.00019319
31,2453.22,1.15392,1.08363,1.22377,0.77407,0.65657,0.58191,0.27447,1.8014,2.72642,1.8031,0.000190451,0.000190451,0.000190451
32,2524.38,1.03903,1.14579,1.18253,0.77082,0.65276,0.62338,0.29608,1.88597,2.65742,1.8783,0.000187102,0.000187102,0.000187102
33,2591.84,1.1768,1.22462,1.29916,0.74957,0.65349,0.62364,0.27861,1.9667,2.71365,1.94952,0.000183145,0.000183145,0.000183145
34,2666.11,1.11181,1.11277,1.25702,0.74957,0.65349,0.62364,0.27861,1.9667,2.71365,1.94952,0.000178579,0.000178579,0.000178579
35,2735.97,0.95966,0.96322,1.1806,0.72228,0.65262,0.57186,0.26337,2.03298,2.92115,2.02255,0.000173403,0.000173403,0.000173403
36,2800.52,1.00991,1.04335,1.16051,0.71654,0.64812,0.5498,0.26489,2.06276,2.8584,2.09272,0.000167619,0.000167619,0.000167619
37,2870.8,1.04438,1.10626,1.2224,0.71654,0.64812,0.5498,0.26489,2.06276,2.8584,2.09272,0.000161225,0.000161225,0.000161225
38,2954.26,0.94609,0.9062,1.10026,0.75476,0.63336,0.54158,0.25467,2.05128,2.82126,2.07162,0.000154223,0.000154223,0.000154223
39,3025.62,1.00399,1.03676,1.14966,0.59276,0.56687,0.39038,0.22979,2.01954,2.63842,2.05007,0.000146611,0.000146611,0.000146611
40,3100.65,1.0159,1.01677,1.12057,0.59276,0.56687,0.39038,0.22979,2.01954,2.63842,2.05007,0.000138391,0.000138391,0.000138391
41,3179.2,1.0172,1.10414,1.20831,0.58772,0.59151,0.45936,0.23702,1.97067,2.52302,2.02256,0.000129561,0.000129561,0.000129561
42,3244.76,0.96307,1.03166,1.1219,0.76919,0.6165,0.51479,0.2431,1.9573,2.46728,2.0483,0.000120122,0.000120122,0.000120122
43,3311.31,0.92689,1.06172,1.10219,0.76919,0.6165,0.51479,0.2431,1.9573,2.46728,2.0483,0.000110075,0.000110075,0.000110075
44,3386.68,0.92575,0.9909,1.16001,0.76437,0.62241,0.49821,0.23845,1.88145,2.41286,2.03527,9.94179e-05,9.94179e-05,9.94179e-05
45,3456.38,0.8908,0.98536,1.09604,0.76437,0.62241,0.49821,0.23845,1.88145,2.41286,2.03527,8.8152e-05,8.8152e-05,8.8152e-05
46,3523.08,0.98452,1.00192,1.12984,0.76878,0.62006,0.49821,0.22927,1.86873,2.41714,2.04003,7.62771e-05,7.62771e-05,7.62771e-05
47,3596,0.81864,0.94969,1.07191,0.76878,0.62006,0.49821,0.22927,1.86873,2.41714,2.04003,6.37932e-05,6.37932e-05,6.37932e-05
48,3670.26,0.88744,0.97755,1.10206,0.76184,0.56642,0.46627,0.22087,1.84292,2.43242,2.04743,5.07002e-05,5.07002e-05,5.07002e-05
49,3736.53,0.88481,0.93713,1.10583,0.76184,0.56642,0.46627,0.22087,1.84292,2.43242,2.04743,3.69981e-05,3.69981e-05,3.69981e-05
50,3803.63,0.833,0.91926,1.06316,0.76632,0.57367,0.46165,0.22297,1.83151,2.42368,2.048,2.2687e-05,2.2687e-05,2.2687e-05
