epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3983,0,917.826,0,0,0,0,0,0,56.6757,0,0,0,0
2,50.3221,0,812.734,0,0,0,0,0,0,54.8005,0,7.53774e-06,7.53774e-06,7.53774e-06
3,68.9242,0,823.586,0,0,0,0,0,0,53.9642,0,1.4771e-05,1.4771e-05,1.4771e-05
4,88.9273,0,659.807,0,0,0,0,0,0,56.2089,0,2.16996e-05,2.16996e-05,2.16996e-05
5,115.676,0,515.773,0,0,0,0,0,0,64.8042,0,2.83238e-05,2.83238e-05,2.83238e-05
6,139.027,0,407.606,0,0,0,0,0,0,82.7355,0,3.46435e-05,3.46435e-05,3.46435e-05
7,167.787,0,326.582,0,0,0,0,0,0,110.711,0,4.06586e-05,4.06586e-05,4.06586e-05
8,193.257,0,296.818,0,0,0,0,0,0,154.244,0,4.63692e-05,4.63692e-05,4.63692e-05
9,215.083,0,268.715,0,0,0,0,0,0,217.948,0,5.17752e-05,5.17752e-05,5.17752e-05
10,240.574,0,257.634,0,0,0,0,0,0,289.496,0,5.68768e-05,5.68768e-05,5.68768e-05
11,263.775,0,242.859,0,0,0,0,0,0,337.947,0,6.16738e-05,6.16738e-05,6.16738e-05
12,289.705,0,231.764,0,0,0,0,0,0,342.196,0,6.61663e-05,6.61663e-05,6.61663e-05
13,312.646,0,220.053,0,0,0,0,0,0,272.08,0,7.03543e-05,7.03543e-05,7.03543e-05
