epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.5741,0,881.646,0,0,0,0,0,0,56.8822,0,0,0,0
2,62.909,0,780.054,0,0,0,0,0,0,54.2471,0,7.53774e-06,7.53774e-06,7.53774e-06
3,78.5255,0,820.261,0,0,0,0,0,0,53.2013,0,1.4771e-05,1.4771e-05,1.4771e-05
4,93.4343,0,639.991,0,0,0,0,0,0,55.86,0,2.16996e-05,2.16996e-05,2.16996e-05
5,108.811,0,516.517,0,0,0,0,0,0,65.2738,0,2.83238e-05,2.83238e-05,2.83238e-05
6,124.512,0,411.166,0,0,0,0,0,0,84.1264,0,3.46435e-05,3.46435e-05,3.46435e-05
7,142.079,0,325.057,0,0,0,0,0,0,113.543,0,4.06586e-05,4.06586e-05,4.06586e-05
8,158.208,0,294.399,0,0,0,0,0,0,156.491,0,4.63692e-05,4.63692e-05,4.63692e-05
9,175.011,0,269.356,0,0,0,0,0,0,216.102,0,5.17752e-05,5.17752e-05,5.17752e-05
10,192.159,0,258,0,0,0,0,0,0,277.818,0,5.68768e-05,5.68768e-05,5.68768e-05
11,211.66,0,243.731,0,0,0,0,0,0,317.051,0,6.16738e-05,6.16738e-05,6.16738e-05
12,241.633,0,230.404,0,0,0,0,0,0,317.214,0,6.61663e-05,6.61663e-05,6.61663e-05
13,272.446,0,219.906,0,0,0,0,0,0,265.704,0,7.03543e-05,7.03543e-05,7.03543e-05
14,297.648,0,209.301,0,0,0,0,0,0,194.994,0,7.42377e-05,7.42377e-05,7.42377e-05
15,320.039,0,195.931,0,0,0,0,0,0,158.747,0,7.78166e-05,7.78166e-05,7.78166e-05
16,340.384,0,182.497,0,0,0,0,0,0,184.672,0,8.10911e-05,8.10911e-05,8.10911e-05
17,359.133,0,173.112,0,0,0,0,0,0,292.06,0,8.40609e-05,8.40609e-05,8.40609e-05
18,390.732,0,162.173,0,0,0,0,0,0,292.06,0,8.67263e-05,8.67263e-05,8.67263e-05
19,421.646,0,164.702,0,0,0,0,0,0,420.531,0,8.90871e-05,8.90871e-05,8.90871e-05
20,459.263,0,154.376,0,0,0,0,0,0,420.531,0,9.11434e-05,9.11434e-05,9.11434e-05
21,490.466,0,153.588,0,0,0,0,0,0,524.101,0,9.28952e-05,9.28952e-05,9.28952e-05
22,520.667,0,142.263,0,0,0,0,0,0,524.101,0,9.43425e-05,9.43425e-05,9.43425e-05
23,544.63,0,142.804,0,0,0,0,0,0,624.615,0,9.54852e-05,9.54852e-05,9.54852e-05
24,568.643,0,133.619,0,0,0,0,0,0,624.615,0,9.63234e-05,9.63234e-05,9.63234e-05
25,606.502,0,137.504,0,0,0,0,0,0,728.282,0,9.68571e-05,9.68571e-05,9.68571e-05
