[XFC_DATALOGGER_HEADER];;;;;;;;;;
CULTURE;pt-BR;;;;;;;;;
SOFTWARE_VERSION;V2.1.1;;;;;;;;;
DATETIME;2024-12-25T15:12:28;;;;;;;;;
USERNAME;Novaes Engenharia;;;;;;;;;
CG_NUMBER;CG110C1R00;;;;;;;;;
CONVERTER_ELECTRONICS;IFC050;;;;;;;;;
ELECTRONIC_SERIAL_NUMBER;106479269;;;;;;;;;
LOG_START_TIME;2024-02-05T16:20:36;;;;;;;;;
[XFC_DATALOGGER_DATA];;;;;;;;;;
Time;Operating Time;Current Output A;Counter1 Display IO;Counter 2;Flow Speed;Volume Flow;Mass Flow;Coil Temperature;Conductivity;Diagnosis 1
Time;Operating Time;Current Output A;Counter1 Display IO;Counter 2;Flow Speed;Volume Flow;Mass Flow;Coil Temperature;Conductivity;Diagnosis 1
2,042555;;10,1332963;;;0,784942091;;49186,5017;;203,145575;
2,09207;;;;;;49,935852;;;;
2,095675;;10,1333093;122799,772;;0,798327386;;49935,8517;1435,06667;;2,29400015
2,148075;;;;;;50,7873863;;;;
2,15168;147406,717;10,1333279;;-3,36264221;0,795803308;;50787,3848;;;
2,18629;;;;;;50,6268125;;;;
2,189895;;10,1333549;;;0,784253716;;50626,8127;;203,192737;
2,23941;;;;;;49,8920582;;;;
2,242775;;10,1333968;;;0,78379482;;49892,0574;1434,91531;;
2,29229;;;;;;49,8628657;;;;
2,295895;;10,1334341;;;0,790296197;;49862,8647;;203,32722;
2,336035;;;;;;50,2764657;;;;
2,3394;147406,717;10,1334713;122799,775;-3,36264221;0,792361379;;50276,4656;;;2,29400015
2,399485;;;;;;50,407847;;;;
2,40309;;10,133516;;;0,791443527;;50407,8484;1433,30007;;
2,439145;;;;;;50,3494553;;;;
2,44275;;10,1335552;;;0,789301872;;50349,456;;202,361885;
2,492265;;;;;;50,2132092;;;;
2,49611;;10,1336334;;;0,788001597;;50213,2084;1434,76394;;
2,54971;;;;;;50,1304898;;;;
2,553315;147406,717;10,133706;122799,778;-3,36264221;0,789378345;;50130,4882;;202,374738;2,29400015
2,61581;;;;;;50,218074;;;;
2,619415;;;;;0,78838402;;50218,0733;;;
2,638885;;;;;;50,1548175;;;;
2,64249;;10,1338103;;;0,783871293;;50154,8161;1434,10769;;
2,692;;;;;;49,8677306;;;;
2,695605;;10,1338644;;;0,785018623;;49867,7296;;202,55737;
2,74512;;;;;;49,9407202;;;;
2,748725;;10,1339184;122799,781;;0,789607823;;49940,72;1435,06667;;
2,79896;;;;;;50,2326719;;;;
2,802565;147406,717;10,1340022;;-3,36264221;0,786012948;;50232,6714;;;
2,836695;;;;;;50,0039767;;;;
2,8403;;10,1340711;;;0,780658841;;50003,9772;;202,994589;2,29200006
2,89222;;;;;;49,663363;;;;
2,895825;;10,1341549;;;0,780811787;;49663,3633;1433,95632;;
2,94654;;;;;;49,6730927;;;;
2,950145;;10,134222;;;0,780505836;;49673,093;;203,028824;
2,990525;;;;;;49,65363;;;;
2,99389;147406,733;10,1342853;122799,784;-3,36264221;0,780964792;;49653,6301;;;
3,051815;;;;;;49,6828258;;;;
3,05518;;10,1343431;;;0,789301872;;49682,8262;1433,14871;;
3,090995;;;;;;50,2132092;;;;
3,0946;;10,1343878;;;0,798786283;;50213,2084;;202,72268;2,29400015
3,132815;;;;;;50,8165821;;;;
3,13642;;10,1344362;;;0,795879781;;50816,581;1435,06667;;
3,185935;;;;;;50,6316774;;;;
3,18954;;10,1344921;122799,787;;0,786242366;;50631,6776;;202,347748;
3,239775;;;;;;50,0185713;;;;
3,24338;147406,733;10,1345871;;-3,36264221;0,784406722;;50018,5719;;;
3,29145;;;;;;49,9017946;;;;
3,29506;;10,1346709;;;0,78807807;;49901,7941;1433,95632;;
3,33111;;;;;;50,1353547;;;;
3,334475;;10,1347705;;;0,79182595;;50135,3531;;202,170946;2,29400015
3,386875;;;;;;50,373783;;;;
3,39048;;10,1348571;;;0,795573831;;50373,7839;1433,14871;;
3,43038;;;;;;50,6122146;;;;
3,433985;147406,733;10,1349484;122799,791;-3,36264221;0,794426501;;50612,2147;;;
3,49167;;;;;;50,539225;;;;
3,495275;;10,135049;;;0,789072394;;50539,2242;;202,72186;
3,53181;;;;;;50,1986112;;;;
3,535415;;10,1351338;;;0,785936415;;50198,6103;1435,21804;;
3,58493;;;;;;49,9991085;;;;
